Time(s),Sensor1,Sensor2,Sensor3,Sensor4,Gyroscope,Magnetic_compass,Gyro integrated heading
109.5,1.22,1.24,1.32,1.38,-0.0104,-0.4326315492,-2.45869965979918
110,1.16,1.14,1.36,1.26,-0.041,-0.01517691345,-2.413263797787
110.5,1.2,1.18,1.26,1.2,-0.0248,0.3490804451,-1.84219992520774
111,0.94,1.02,1.1,1.06,-0.0362,-1.960271158,-2.22878763270045
111.5,0.82,0.78,0.72,0.8,0.001,-5.369385488,-2.69872280990311
112,0.5,0.5,0.5,0.54,-0.0016,-2.317773326,-2.33676333222125
112.5,0.4,0.28,0.4,0.34,0.5182,12.48868127,12.7903811913947
113,0.3,0.12,0.38,0.12,0.5258,29.72389387,28.6589464390692
113.5,0.36,0.06,0.3,0.14,0.5172,46.6462855,44.6958763739869
114,0.32,0.1,0.36,0.1,0.5246,65.26868203,61.7021630172385
114.5,0.38,0.18,0.48,0.26,0.5064,73.8242971,76.0889594864905
115,0.38,0.18,0.34,0.16,0.509,90.67347065,91.1310554569047
115.5,0.32,0.14,0.36,0.16,0.4968,104.0317368,105.42525175807
116,0.28,0.16,0.36,0.12,0.4918,118.3735779,119.570675950995
116.5,0.24,0.14,0.3,0.12,0.4934,133.7516034,134.047529919669
117,0.42,0.16,0.44,0.1,0.4996,150.277436,149.220556312927
117.5,0.24,0.14,0.38,0.12,0.5014,163.0133889,163.783973372539
118,0.48,0.14,0.28,0.24,0.5014,180.2845,179.083020052742
118.5,0.32,0.26,0.4,0.28,-0.0042,179.29659,179.437471091629
119,0.42,0.5,0.46,0.54,0.0008,177.5067658,179.279749741217
119.5,0.74,0.74,0.86,0.74,-0.022,176.0962331,178.222649340093
120,1.04,1.08,1.12,1.1,-0.027,178.646289,177.995833321178
120.5,1.16,1.16,1.2,1.26,0.0088,179.6672015,178.885546552298
121,1.26,1.22,1.3,1.32,-0.0124,179.5352364,179.083800369548
121.5,1.34,1.2,1.28,1.24,-0.019,181.0335065,179.53504484602
122,1.2,1.26,1.18,1.26,-0.0026,179.5147668,179.827725380592
122.5,1.12,1.16,1.28,1.36,0.0148,180.4523378,180.647031618037
123,1.28,1.2,1.3,1.28,0.0126,182.4494484,181.747212504186
123.5,1.28,1.22,1.3,1.32,-0.0182,179.6449469,181.137162254557
124,1.18,1.2,1.26,1.34,-0.0052,183.2345518,181.922049950913
124.5,1.18,1.26,1.3,1.28,-0.001,180.9176066,181.968809872832
125,1.22,1.24,1.38,1.24,-0.016,181.2995047,181.757926774563
125.5,1.28,1.16,1.36,1.26,-0.0458,182.944912,181.442998106971
126,1.24,1.28,1.34,1.26,-0.0412,179.110637,180.287742534783
126.5,1.24,1.2,1.28,1.3,-0.0298,173.4793609,178.045274381159
127,1.26,1.22,1.3,1.28,-0.0264,178.1797683,177.647808988322
127.5,1.16,1.14,1.28,1.36,-0.0222,175.413785,176.686936637739
128,1.26,1.22,1.24,1.3,-0.0156,181.1409572,177.70548997355
128.5,1.2,1.26,1.42,1.18,0.0068,177.7698587,178.084694461941
129,1.2,1.2,1.4,1.34,0.012,178.8252296,178.749034929993
129.5,1.18,1.22,1.3,1.3,0.004,182.2378119,180.032682007784
130,1.22,1.3,1.22,1.26,-0.0132,181.1616301,180.388064638917
130.5,1.2,1.18,1.32,1.28,-0.0218,180.2862722,180.250787066144
131,1.24,1.3,1.26,1.3,-0.0156,180.2710176,180.276865282618
131.5,1.14,1.22,1.22,1.28,-0.0258,183.0922477,180.886916950388
132,1.32,1.2,1.22,1.32,-0.036,182.0954201,180.926066091979
132.5,1.22,1.28,1.36,1.2,-0.039,181.3048187,180.718235227099
133,1.22,1.24,1.38,1.38,-0.0432,180.3214356,180.229216375628
133.5,1.14,1.24,1.28,1.28,-0.0086,180.4802434,180.637885820037
134,1.26,1.2,1.26,1.28,-0.0064,179.0989082,180.576790942861
134.5,1.12,1.18,1.3,1.32,-0.0044,176.0535893,179.646236329201
135,1.18,1.2,1.3,1.3,-0.008,180.0848668,179.896413072639
135.5,1.22,1.2,1.28,1.28,-0.0024,181.8434684,180.697760462942
136,1.24,1.18,1.3,1.24,0.0178,180.2761176,181.29019882247
136.5,1.24,1.06,1.26,1.26,-0.0404,178.2103649,179.89058080576
137,1.22,1.2,1.3,1.36,-0.0296,180.8108387,179.776058356142
137.5,1.3,1.24,1.32,1.28,-0.006,178.1093611,179.455667040953
138,1.14,1.26,1.38,1.24,-0.0066,179.6550705,179.595013494247
138.5,1.22,1.28,1.26,1.3,-0.0218,179.2395757,179.267592729106
139,1.24,1.28,1.22,1.3,-0.0218,180.8484847,179.488651967542
139.5,1.22,1.1,1.28,1.36,-0.003,178.0825399,179.30573394962
140,1.2,1.22,1.32,1.36,-0.0014,179.5476345,179.571053315755
140.5,1.22,1.14,1.28,1.26,-0.0126,182.0784763,180.248727758783
141,1.18,1.26,1.26,1.3,-0.023,177.3270238,179.250250056166
141.5,1.24,1.22,1.28,1.34,-0.0022,178.8118255,179.301018315595
142,1.24,1.12,1.22,1.26,-0.0064,176.7007077,178.630946001174
142.5,1.12,1.18,1.22,1.2,-0.0124,178.7513444,178.527407515958
143,1.24,1.2,1.28,1.34,-0.0102,181.3298032,179.239958957368
143.5,1.12,1.12,1.26,1.32,-0.0068,183.824213,180.617654754508
144,1.16,1.2,1.24,1.24,-0.0078,180.8997608,180.89097173369
144.5,1.22,1.26,1.32,1.3,-0.0214,177.6212039,179.877358476829
145,1.2,1.22,1.3,1.22,-0.0346,177.5276212,178.757428421687
145.5,1.2,1.28,1.26,1.34,-0.0084,179.5403899,179.011600226765
146,1.22,1.28,1.22,1.3,-0.0012,182.1832872,180.114250392349
146.5,1.22,1.2,1.24,1.26,-0.04,181.3286812,179.953952570449
147,1.26,1.1,1.26,1.26,-0.0192,180.5229649,180.096070413922
147.5,1.2,1.32,1.34,1.26,-0.0044,181.1211076,180.689566329215
148,1.14,1.22,1.28,1.3,-0.0094,180.7247421,180.917979877387
148.5,1.22,1.24,1.26,1.34,-0.0226,178.8830621,180.279655577576
149,1.28,1.18,1.2,1.28,-0.012,180.1616594,180.343113258992
149.5,1.16,1.14,1.18,1.32,-0.0112,180.6604195,180.538779494143
150,1,1.04,1.04,1,-0.011,179.7082185,180.417907980214
150.5,0.68,0.72,0.76,0.76,0.0006,179.0755794,180.359321250505
151,0.52,0.48,0.46,0.5,0.0004,178.4252312,180.073627604921
151.5,0.1,0.4,0.34,0.46,-0.5418,165.6569998,165.050330090902
152,0.16,0.36,0.14,0.4,-0.5234,151.3951269,150.646666669049
152.5,0.12,0.32,0.14,0.4,-0.535,138.8018217,136.551020850043
153,0.04,0.42,0.16,0.34,-0.5246,124.6302753,122.743648899937
153.5,0.04,0.3,0.1,0.3,-0.5502,104.6838603,106.749199058783
154,0.18,0.34,0.12,0.28,-0.5408,89.91980306,91.2083627778907
154.5,0.08,0.32,0.18,0.38,-0.5434,73.18741568,75.2207093023142
155,0.14,0.36,0.14,0.38,-0.5446,61.95210193,60.4703815225595
155.5,0.1,0.34,0.06,0.28,-0.5454,43.37738353,44.6814830463497
156,0.06,0.38,0.14,0.44,-0.5284,33.46329679,30.8531854587873
156.5,0.12,0.32,0.1,0.48,-0.5346,16.58500723,16.1437267749081
157,0.12,0.26,0.16,0.34,-0.5434,-1.931795183,0.191824410293284
157.5,0.28,0.32,0.22,0.4,-0.0172,1.317989498,0.395042377625796
158,0.54,0.5,0.46,0.46,-0.0184,0.9439074237,0.44931309343666
158.5,0.7,0.78,0.76,0.9,-0.019,-2.405383392,-0.453724084446516
159,0.98,0.94,0.94,1.06,-0.0134,0.3271151924,-0.293468024629178
159.5,1.24,1.08,1.26,1.2,0.0138,1.369378178,0.701784498751902
160,1.2,1.16,1.36,1.3,-0.0036,1.006731672,0.983202368539959
160.5,1.32,1.2,1.3,1.34,-0.007,-2.824354163,0.0284284710546425
161,1.26,1.24,1.26,1.3,-0.0264,-0.4118735072,-0.490714600024993
161.5,1.18,1.22,1.24,1.24,-0.0038,-0.9417242614,-0.545870609929268
162,1.2,1.2,1.18,1.3,-0.009,2.718403932,0.33001470376315
162.5,1.14,1.12,1.3,1.28,-0.025,0.8120322924,0.190189920037167
163,1.28,1.24,1.22,1.22,-0.0204,0.1465987343,0.0221770345520003
163.5,1.28,1.16,1.3,1.42,-0.0062,0.9502568654,0.426650629888305
164,1.28,1.18,1.28,1.36,-0.0066,-0.2022515673,0.403365352641581
164.5,1.24,1.26,1.16,1.3,-0.0096,4.454088776,1.62102061432476
165,1.28,1.14,1.26,1.3,-0.013,3.146583908,2.17350093346139
165.5,1.24,1.24,1.42,1.24,-0.0116,2.997583603,2.59727055866126
166,1.3,1.14,1.26,1.24,0.0022,0.6638444436,2.53851338070191
166.5,1.22,1.2,1.28,1.38,-0.0198,0.6412284846,1.95833645683242
167,1.28,1.2,1.32,1.32,-0.0112,-0.7950062597,1.25513033284742
167.5,1.24,1.28,1.32,1.3,-0.0296,2.181213059,1.1310869314377
168,1.22,1.18,1.38,1.38,-0.0076,2.978413856,1.76490700016125
168.5,1.28,1.14,1.34,1.28,-0.0208,1.3069197,1.52550273056942
169,1.24,1.24,1.26,1.28,-0.047,-0.6052361351,0.264370785176981
169.5,1.14,1.22,1.2,1.38,-0.023,1.257212072,0.345054995363965
170,1.3,1.22,1.24,1.26,-0.0196,-2.545345119,-0.567782438546099
170.5,1.14,1.14,1.3,1.32,-0.006,-1.598998116,-0.758579990990162
171,1.24,1.18,1.34,1.34,-0.013,-0.1886468871,-0.674471917926227
